lat,lon
-0.040579145107991946, -74.70736337782297
-0.04649127351677699, -74.7450093580352
-0.07093711513134357, -74.73061232042183
-0.031244889913973558, -74.71439159450429
-0.029379347151360365, -74.73340973603625
-0.04760768852344411, -74.73590228753768
-0.030741692162634265, -74.73507569364502
-0.023892283423333924, -74.73487762967251
-0.06919314026253631, -74.73220163862848
-0.0416307354436346, -74.74104045828574
-0.04921542870360919, -74.72876135820833
-0.02675806880829334, -74.73153880427797
-0.03280686295911252, -74.73394524513593
-0.022828442235182773, -74.71772853118364
-0.029777227286456175, -74.74207987077405
-0.020540460618514767, -74.72366992392462
-0.024810930147841942, -74.70907735200966
-0.06631855907066393, -74.71830352001474
-0.03772121186198294, -74.72269581590595
-0.0721918596603297, -74.73648199327702
-0.06017067093268145, -74.74644900814297
-0.039802935097650545, -74.73314862065581
-0.07102032429780279, -74.70960567469794
-0.06676368682418485, -74.73359720806585
-0.0724412839431945, -74.73096143086603
-0.04224589573346213, -74.7506061483059
-0.06473179771772716, -74.72610962485922
-0.05954724559282842, -74.7389835416265
-0.04051036086507862, -74.70469611749807
-0.032030710012493614, -74.72001448303892
-0.0654569830744442, -74.7314268603643
-0.02584329209620278, -74.73537824598651
-0.02364970386588789, -74.72512545125912
-0.03659783027095675, -74.73053024578797
-0.021924018162659875, -74.73074902945287
-0.04978640762183065, -74.69910994687034
-0.06471449007860366, -74.70677627561287
-0.04350741373153686, -74.70912302745383
-0.033065049552360934, -74.74620430310996
-0.07419570867697196, -74.72597098993678